Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Male,Loyal Customer,61,Business travel,Business,196,0,5,0,5,5,1,2,5,5,5,5,1,5,1,3,0.0
Female,Loyal Customer,35,Business travel,Business,3485,3,3,5,3,5,5,5,4,4,4,4,4,4,3,11,14.0
Female,Loyal Customer,42,Personal Travel,Eco,859,2,4,2,4,3,4,5,2,2,2,2,4,2,3,0,2.0
Male,disloyal Customer,46,Business travel,Eco,414,3,3,3,3,4,3,4,4,1,5,3,1,3,4,4,0.0
Female,Loyal Customer,26,Personal Travel,Eco,102,4,5,4,4,1,4,1,1,5,5,5,5,4,1,8,6.0
Female,Loyal Customer,56,Personal Travel,Eco,813,3,2,3,4,1,2,4,3,3,3,4,2,3,3,14,6.0
Female,Loyal Customer,48,Business travel,Business,2258,3,3,3,3,4,1,2,5,5,5,5,5,5,5,0,0.0
Female,Loyal Customer,42,Business travel,Business,2986,2,2,2,2,3,4,5,3,3,4,3,4,3,4,13,0.0
Male,Loyal Customer,51,Business travel,Business,2437,3,3,3,3,3,5,5,4,4,4,4,4,4,3,0,0.0
Male,Loyal Customer,65,Business travel,Eco,118,4,2,2,2,4,4,4,4,4,3,5,4,1,4,3,0.0
Female,disloyal Customer,25,Business travel,Eco,190,3,2,3,4,4,3,4,4,1,1,4,1,4,4,35,29.0
Male,Loyal Customer,35,Business travel,Eco,86,4,1,1,1,4,5,4,4,2,2,4,5,4,4,0,0.0
Male,Loyal Customer,34,Business travel,Business,821,5,5,5,5,2,4,4,4,4,4,4,5,4,4,0,0.0
Male,Loyal Customer,29,Personal Travel,Eco,1236,4,5,4,4,4,4,1,4,3,2,3,4,5,4,12,0.0
Male,Loyal Customer,65,Business travel,Business,187,2,2,2,2,3,5,4,4,4,4,5,4,4,3,0,0.0
Female,Loyal Customer,50,Business travel,Eco,190,4,1,1,1,5,3,3,4,4,4,4,1,4,1,0,0.0
Male,disloyal Customer,65,Business travel,Business,369,4,4,4,4,1,4,1,1,3,2,5,4,5,1,0,0.0
Female,Loyal Customer,14,Personal Travel,Business,1065,2,5,2,4,2,2,2,2,5,3,4,3,5,2,66,36.0
Female,disloyal Customer,13,Personal Travel,Eco,1276,4,3,4,3,5,4,5,5,5,2,3,1,5,5,39,26.0
Male,Loyal Customer,73,Business travel,Business,3887,2,4,4,4,2,4,4,2,2,3,2,3,2,4,13,34.0
Female,Loyal Customer,11,Personal Travel,Eco,1744,5,4,5,5,1,5,1,1,3,2,4,3,4,1,19,1.0
Female,Loyal Customer,69,Business travel,Business,408,3,4,4,4,3,4,3,3,3,3,3,2,3,4,0,8.0
Male,Loyal Customer,41,Personal Travel,Eco,250,1,4,1,4,1,1,1,1,4,2,5,3,4,1,11,26.0
Female,Loyal Customer,47,Business travel,Eco Plus,371,2,1,1,1,3,4,3,2,2,2,2,3,2,4,34,25.0
Male,disloyal Customer,30,Business travel,Eco,302,2,5,2,5,4,2,4,4,5,2,1,3,2,4,0,0.0
Male,Loyal Customer,43,Personal Travel,Eco,2174,3,4,3,4,5,3,5,5,5,3,4,4,4,5,9,8.0
Male,Loyal Customer,53,Business travel,Business,329,0,0,0,4,5,2,1,2,2,2,2,3,2,3,0,0.0
Female,Loyal Customer,61,Business travel,Business,1606,3,1,1,1,1,3,4,3,3,3,3,4,3,2,0,0.0
Female,Loyal Customer,43,Business travel,Business,3078,0,0,0,2,5,5,5,4,4,3,3,3,4,5,0,0.0
Male,Loyal Customer,47,Business travel,Eco,200,3,3,3,3,3,3,3,3,4,1,4,2,4,3,0,0.0
Female,Loyal Customer,30,Business travel,Business,1846,1,1,1,1,5,5,5,5,3,5,3,5,4,5,0,0.0
Female,disloyal Customer,26,Business travel,Business,295,5,0,5,5,5,5,5,5,4,2,4,5,4,5,0,10.0
Male,Loyal Customer,24,Business travel,Business,669,4,4,4,4,5,5,5,5,5,5,5,5,4,5,64,64.0
Female,Loyal Customer,49,Personal Travel,Eco,1524,2,4,2,4,4,3,4,3,3,2,5,4,3,5,12,0.0
Female,Loyal Customer,46,Business travel,Business,2827,4,4,4,4,4,4,4,5,5,5,5,3,5,3,0,0.0
Female,Loyal Customer,51,Business travel,Business,594,3,3,3,3,3,4,5,4,4,4,4,5,4,5,0,0.0
Female,Loyal Customer,51,Personal Travel,Eco,1371,2,2,2,4,2,4,3,2,2,2,3,3,2,1,9,31.0
Male,Loyal Customer,34,Business travel,Business,2431,3,2,2,2,5,3,4,3,3,2,3,4,3,1,16,9.0
Female,Loyal Customer,55,Business travel,Business,3942,3,3,3,3,2,5,5,5,5,5,5,4,5,3,0,0.0
Male,Loyal Customer,32,Personal Travel,Eco,335,3,5,3,3,1,3,1,1,4,2,5,5,4,1,0,0.0
Female,disloyal Customer,20,Business travel,Eco,223,3,0,3,1,5,3,5,5,3,4,4,4,5,5,3,0.0
Female,Loyal Customer,60,Business travel,Business,1675,3,3,3,3,3,4,4,5,5,5,5,4,5,3,0,0.0
Female,disloyal Customer,28,Business travel,Business,862,5,4,4,1,3,4,3,3,5,4,4,4,5,3,0,0.0
Female,Loyal Customer,53,Business travel,Business,436,5,5,5,5,4,4,5,5,5,5,5,4,5,4,35,30.0
Male,disloyal Customer,21,Business travel,Eco,102,2,5,3,4,5,3,5,5,3,2,5,2,5,5,5,2.0
Female,Loyal Customer,37,Personal Travel,Eco,1674,1,4,1,3,4,1,1,4,2,5,3,1,4,4,0,0.0
Female,Loyal Customer,45,Business travel,Business,2239,4,4,5,4,5,5,5,3,3,2,3,5,3,3,0,0.0
Female,Loyal Customer,51,Business travel,Business,325,4,4,5,4,5,4,5,5,5,5,5,5,5,5,0,0.0
Female,disloyal Customer,37,Business travel,Eco,147,2,0,2,2,5,2,5,5,1,2,5,1,3,5,22,15.0
Female,Loyal Customer,27,Personal Travel,Eco,669,4,5,4,4,4,4,4,4,4,4,5,5,4,4,0,0.0
Male,Loyal Customer,70,Personal Travel,Eco,989,2,5,2,3,4,2,4,4,4,5,4,5,4,4,0,0.0
Male,Loyal Customer,37,Business travel,Business,3440,3,3,3,3,4,5,5,4,4,4,4,4,4,3,0,0.0
Female,disloyal Customer,17,Business travel,Eco,1504,4,5,5,3,5,4,2,5,3,1,1,4,4,5,0,0.0
Female,Loyal Customer,43,Business travel,Business,2737,5,5,5,5,2,4,5,4,4,4,4,4,4,5,0,7.0
Male,Loyal Customer,59,Business travel,Business,2521,2,2,2,2,5,5,5,5,5,5,5,5,5,5,0,0.0
Male,Loyal Customer,54,Business travel,Business,3995,2,2,5,2,5,4,5,3,3,3,3,4,3,3,0,4.0
Female,Loyal Customer,44,Personal Travel,Eco,907,3,1,4,3,3,2,3,3,3,4,3,1,3,3,0,1.0
Male,Loyal Customer,59,Business travel,Business,2620,1,1,1,1,5,5,5,5,5,5,5,3,5,5,23,2.0
Female,Loyal Customer,18,Business travel,Business,517,2,2,2,2,2,2,2,2,1,3,3,2,2,2,0,0.0
Male,Loyal Customer,43,Business travel,Eco Plus,588,2,4,4,4,2,2,2,2,4,3,3,2,4,2,4,0.0
Male,Loyal Customer,69,Personal Travel,Eco,2496,3,1,3,3,3,4,4,4,5,2,2,4,3,4,6,0.0
Female,disloyal Customer,10,Business travel,Eco,588,4,5,4,4,4,4,4,4,3,2,4,4,5,4,0,0.0
Male,Loyal Customer,27,Business travel,Business,1744,1,2,2,2,1,1,1,1,3,1,2,4,3,1,0,4.0
Female,Loyal Customer,25,Business travel,Eco,308,1,4,4,4,1,1,3,1,1,3,3,3,4,1,0,13.0
Female,Loyal Customer,50,Personal Travel,Eco,780,3,5,3,4,2,4,5,1,1,3,1,4,1,4,21,30.0
Male,Loyal Customer,57,Business travel,Business,577,4,4,5,4,3,5,4,3,3,4,3,5,3,4,0,0.0
Female,Loyal Customer,38,Business travel,Business,181,1,1,1,1,5,1,1,4,4,4,5,4,4,4,0,0.0
Male,disloyal Customer,24,Business travel,Eco,252,1,0,1,1,3,1,3,3,4,4,3,2,4,3,9,5.0
Male,disloyal Customer,23,Business travel,Eco,337,2,0,2,2,4,2,4,4,5,5,4,3,4,4,0,0.0
Male,Loyal Customer,39,Business travel,Business,1120,4,4,4,4,5,4,4,5,5,5,5,4,5,3,0,9.0
Male,disloyal Customer,37,Business travel,Eco,262,1,4,1,3,3,1,3,3,1,3,4,2,3,3,0,0.0
Male,disloyal Customer,27,Business travel,Eco,618,2,3,2,3,1,2,1,1,4,3,4,2,3,1,55,43.0
Male,Loyal Customer,38,Business travel,Business,2566,2,3,3,3,3,3,3,2,2,2,2,4,2,3,0,5.0
Female,Loyal Customer,36,Business travel,Eco,455,3,1,1,1,3,3,3,3,4,4,3,4,3,3,0,0.0
Female,Loyal Customer,31,Business travel,Business,634,1,2,2,2,1,1,1,1,3,3,3,3,4,1,45,53.0
Male,Loyal Customer,62,Personal Travel,Eco,872,2,3,2,2,4,2,4,4,4,5,2,1,3,4,0,0.0
Male,Loyal Customer,52,Business travel,Business,764,3,3,3,3,3,4,5,5,5,5,5,5,5,5,3,0.0
Male,Loyal Customer,35,Personal Travel,Eco,192,3,2,3,4,1,3,1,1,1,5,3,2,4,1,25,14.0
Male,disloyal Customer,24,Business travel,Eco,1172,4,4,4,2,3,4,3,3,3,5,4,5,5,3,0,0.0
Male,Loyal Customer,8,Personal Travel,Eco,2402,1,4,1,2,1,1,1,1,5,4,3,3,5,1,18,0.0
Male,Loyal Customer,39,Business travel,Business,612,5,5,5,5,4,1,3,5,5,5,5,3,5,4,0,3.0
Female,Loyal Customer,39,Business travel,Business,2581,3,4,4,4,5,3,4,3,3,2,3,3,3,2,0,0.0
Female,Loyal Customer,35,Business travel,Business,409,2,2,2,2,2,1,5,4,4,4,4,3,4,4,11,0.0
Female,Loyal Customer,56,Business travel,Business,2259,3,3,3,3,2,4,4,4,4,4,4,5,4,4,0,0.0
Female,Loyal Customer,37,Business travel,Business,226,5,5,5,5,5,5,5,4,4,4,4,3,4,5,3,0.0
Male,Loyal Customer,38,Personal Travel,Eco,342,4,3,4,2,2,4,2,2,2,1,3,3,3,2,0,0.0
Female,disloyal Customer,24,Business travel,Business,600,5,0,5,3,1,5,1,1,4,2,5,5,4,1,0,0.0
Female,Loyal Customer,61,Personal Travel,Eco,1379,4,4,4,2,5,4,4,3,3,4,3,4,3,3,71,58.0
Male,Loyal Customer,46,Business travel,Business,592,2,4,4,4,1,3,4,2,2,3,2,2,2,4,0,0.0
Male,Loyal Customer,51,Business travel,Business,637,4,4,2,4,2,3,1,3,3,4,3,3,3,4,0,0.0
Male,Loyal Customer,51,Business travel,Business,2652,2,2,2,2,5,5,4,3,3,3,3,5,3,5,0,0.0
Male,Loyal Customer,40,Business travel,Business,1773,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0.0
Female,Loyal Customer,33,Personal Travel,Eco,1269,3,4,4,3,1,4,2,1,4,5,4,5,5,1,1,0.0
Female,Loyal Customer,39,Business travel,Business,3180,1,1,1,1,5,5,5,4,4,4,4,5,4,4,0,0.0
Female,disloyal Customer,23,Business travel,Eco,1165,3,3,3,4,5,3,5,5,4,4,4,3,3,5,35,28.0
Male,Loyal Customer,35,Business travel,Business,1172,3,3,3,3,3,4,5,4,4,4,4,4,4,5,0,0.0
Female,Loyal Customer,53,Personal Travel,Eco Plus,402,3,4,3,4,2,4,4,5,5,3,5,5,5,4,0,6.0
Female,Loyal Customer,39,Personal Travel,Eco,328,0,4,0,4,1,0,5,1,4,4,2,3,2,1,12,0.0
Female,Loyal Customer,35,Business travel,Eco,234,3,5,5,5,3,4,3,3,1,5,1,1,3,3,0,0.0
Male,Loyal Customer,60,Personal Travel,Eco,282,3,4,3,3,5,3,5,5,1,2,3,1,3,5,0,0.0
Male,Loyal Customer,38,Personal Travel,Business,2602,1,4,1,1,5,3,5,2,2,1,2,4,2,4,40,1.0
Female,Loyal Customer,39,Personal Travel,Eco,522,3,4,3,4,4,3,3,4,4,2,4,5,4,4,0,0.0
Male,Loyal Customer,48,Personal Travel,Eco Plus,585,3,4,3,4,1,3,1,1,3,1,4,1,4,1,21,24.0
Male,Loyal Customer,52,Business travel,Business,391,4,4,5,4,4,4,3,4,4,4,4,2,4,4,3,6.0
Female,Loyal Customer,35,Personal Travel,Eco,436,2,2,5,3,4,5,4,4,4,1,2,4,3,4,0,0.0
Female,Loyal Customer,49,Business travel,Business,3332,5,5,5,5,5,4,5,4,4,4,4,5,4,5,0,0.0
Female,disloyal Customer,19,Business travel,Eco,216,4,2,4,3,5,4,5,5,2,1,4,3,4,5,0,0.0
Male,disloyal Customer,25,Business travel,Eco,522,2,0,3,2,2,3,2,2,4,5,3,3,2,2,17,17.0
Female,Loyal Customer,41,Business travel,Business,3899,0,0,0,1,3,4,5,2,2,2,2,4,2,3,0,0.0
Female,Loyal Customer,57,Business travel,Business,1005,1,1,1,1,4,4,5,5,5,5,5,3,5,4,14,23.0
Male,Loyal Customer,37,Business travel,Business,1543,2,5,5,5,2,1,2,3,3,3,2,2,3,3,0,0.0
Male,Loyal Customer,60,Business travel,Business,2994,5,5,5,5,2,4,5,4,4,4,4,4,4,3,0,0.0
Female,Loyal Customer,48,Business travel,Business,474,1,1,1,1,2,4,5,3,3,4,3,5,3,3,0,0.0
Male,Loyal Customer,48,Business travel,Business,1695,3,3,3,3,2,5,4,3,3,3,3,4,3,4,76,86.0
Male,Loyal Customer,52,Business travel,Eco,488,4,1,1,1,4,4,4,4,1,2,2,1,2,4,27,28.0
Female,Loyal Customer,25,Personal Travel,Eco,1199,2,4,2,4,2,2,2,2,1,3,4,5,2,2,1,1.0
Male,Loyal Customer,49,Business travel,Business,3166,0,0,0,3,3,3,5,2,2,2,4,5,2,3,17,33.0
Female,Loyal Customer,13,Personal Travel,Eco,432,3,4,3,3,4,3,2,4,5,2,5,5,4,4,10,8.0
Female,Loyal Customer,42,Business travel,Eco,209,5,4,4,4,4,4,2,5,5,5,5,4,5,3,75,77.0
Female,Loyal Customer,31,Personal Travel,Eco,1013,3,2,3,4,3,3,3,3,3,1,3,3,3,3,0,0.0
Male,Loyal Customer,59,Personal Travel,Eco,236,1,4,1,1,3,1,3,3,1,4,3,1,4,3,81,81.0
Female,disloyal Customer,27,Business travel,Eco,814,2,2,2,3,4,2,4,4,1,3,3,1,4,4,22,16.0
Female,Loyal Customer,25,Personal Travel,Eco,594,1,4,1,4,5,1,4,5,2,3,4,2,3,5,65,49.0
Female,Loyal Customer,58,Business travel,Business,300,4,4,3,4,3,4,4,5,5,5,5,4,5,5,0,0.0
Male,Loyal Customer,11,Personal Travel,Eco,666,2,4,2,4,5,2,5,5,4,1,4,1,3,5,0,0.0
Female,Loyal Customer,25,Personal Travel,Eco,1021,2,0,3,1,5,3,5,5,4,2,1,5,2,5,6,0.0
Female,Loyal Customer,70,Personal Travel,Eco,1172,4,5,5,4,2,3,5,1,1,5,1,3,1,4,17,21.0
Male,Loyal Customer,49,Business travel,Business,2279,2,2,2,2,2,4,5,3,3,3,3,5,3,4,6,0.0
Male,Loyal Customer,37,Personal Travel,Eco,782,3,5,3,1,2,3,2,2,4,5,5,4,4,2,3,1.0
Male,Loyal Customer,21,Business travel,Business,1814,4,5,5,5,4,4,4,4,4,4,4,1,4,4,0,0.0
Female,disloyal Customer,38,Business travel,Eco,437,5,0,5,3,5,5,5,5,1,1,4,1,5,5,0,0.0
Female,Loyal Customer,40,Personal Travel,Eco,628,2,4,2,5,4,2,4,4,4,5,4,5,5,4,0,0.0
Female,Loyal Customer,28,Business travel,Business,719,2,4,4,4,2,2,2,2,1,1,4,2,4,2,0,0.0
Female,Loyal Customer,54,Personal Travel,Eco,2434,2,5,2,4,5,5,5,1,1,2,1,3,1,5,0,0.0
Female,disloyal Customer,26,Business travel,Business,296,3,0,3,3,3,3,3,3,5,3,4,3,4,3,0,14.0
Male,Loyal Customer,24,Personal Travel,Eco Plus,985,2,5,2,3,4,2,4,4,4,3,4,3,5,4,6,0.0
Female,disloyal Customer,25,Business travel,Business,236,2,5,2,3,3,2,3,3,5,2,4,5,4,3,0,3.0
Male,Loyal Customer,37,Business travel,Business,3709,2,2,2,2,5,5,5,5,5,5,5,5,5,3,0,0.0
Female,disloyal Customer,28,Business travel,Business,1096,2,3,3,3,5,3,5,5,3,4,4,4,4,5,0,0.0
Female,disloyal Customer,19,Business travel,Eco,89,4,0,4,4,4,4,4,4,1,2,3,1,4,4,0,0.0
Male,Loyal Customer,27,Personal Travel,Eco,1430,1,4,1,4,5,1,5,5,5,4,3,5,5,5,0,0.0
Male,Loyal Customer,58,Business travel,Business,2311,3,3,3,3,5,5,4,5,5,5,5,4,5,4,0,0.0
Male,Loyal Customer,41,Business travel,Eco Plus,641,5,1,2,2,5,5,5,5,3,5,4,2,5,5,0,4.0
Male,Loyal Customer,17,Personal Travel,Eco,328,2,2,2,2,2,4,4,2,3,2,2,4,4,4,137,130.0
Female,Loyal Customer,10,Personal Travel,Eco,140,3,0,0,1,1,0,1,1,3,5,5,4,5,1,35,24.0
Female,Loyal Customer,46,Business travel,Eco,650,1,5,5,5,2,4,3,2,2,1,2,3,2,1,0,0.0
Male,Loyal Customer,54,Business travel,Business,1897,4,4,4,4,5,5,4,5,5,5,5,3,5,4,0,0.0
Male,disloyal Customer,68,Business travel,Eco,163,2,2,2,3,4,2,4,4,1,1,2,1,3,4,0,9.0
Female,Loyal Customer,52,Business travel,Business,544,5,5,5,5,5,4,5,4,4,4,4,3,4,4,0,0.0
Male,disloyal Customer,23,Business travel,Business,197,5,5,5,3,3,5,3,3,3,3,5,4,4,3,86,73.0
Female,disloyal Customer,26,Business travel,Business,223,4,0,4,1,5,4,2,5,4,5,4,3,4,5,26,11.0
Female,disloyal Customer,21,Business travel,Business,1142,3,2,3,3,3,3,3,3,2,5,3,1,3,3,0,11.0
Male,Loyal Customer,59,Personal Travel,Eco,1428,5,4,5,2,4,5,1,4,3,2,5,5,4,4,0,0.0
Female,Loyal Customer,68,Personal Travel,Eco,1947,3,4,2,2,3,5,4,3,3,2,3,4,3,4,0,0.0
Male,Loyal Customer,15,Personal Travel,Eco,864,3,5,3,5,1,3,1,1,3,4,4,3,4,1,40,70.0
Male,Loyal Customer,40,Personal Travel,Eco,2762,3,0,3,1,1,3,1,1,5,5,5,2,3,1,0,0.0
Female,Loyal Customer,40,Business travel,Eco,576,5,3,3,3,5,5,5,5,5,4,2,3,2,5,0,0.0
Male,Loyal Customer,66,Business travel,Eco,106,1,5,5,5,1,1,1,1,4,5,3,1,3,1,0,0.0
Male,Loyal Customer,26,Personal Travel,Eco,237,4,5,4,1,3,4,3,3,3,2,5,4,4,3,0,0.0
Female,Loyal Customer,59,Personal Travel,Business,929,2,4,2,4,5,5,4,3,3,2,3,3,3,4,0,0.0
Male,Loyal Customer,48,Business travel,Business,1710,3,3,3,3,4,4,4,2,2,2,2,4,2,3,0,0.0
Male,disloyal Customer,36,Business travel,Business,516,1,1,1,2,4,1,2,4,4,4,5,4,5,4,0,0.0
Male,Loyal Customer,11,Business travel,Business,3230,2,2,2,2,2,3,2,2,4,5,4,4,5,2,0,0.0
Male,Loyal Customer,43,Business travel,Business,1726,5,5,5,5,3,4,5,4,4,4,4,3,4,4,126,122.0
Female,Loyal Customer,42,Business travel,Business,1906,2,2,2,2,3,4,5,4,4,4,4,3,4,4,28,25.0
Female,Loyal Customer,54,Personal Travel,Eco,308,1,5,1,4,2,4,5,2,2,1,3,4,2,3,7,0.0
Male,Loyal Customer,35,Business travel,Eco,1846,5,4,4,4,5,5,5,5,3,3,2,3,4,5,0,0.0
Female,Loyal Customer,42,Business travel,Business,533,3,4,4,4,2,3,4,3,3,3,3,4,3,2,0,0.0
Male,Loyal Customer,66,Personal Travel,Business,1258,1,4,1,2,4,3,4,2,2,1,2,3,2,3,0,0.0
Female,disloyal Customer,13,Business travel,Eco,860,2,2,2,4,5,2,5,5,3,1,3,2,3,5,13,0.0
Male,Loyal Customer,31,Business travel,Business,2363,2,5,5,5,2,2,2,2,3,5,4,2,4,2,14,11.0
Male,Loyal Customer,38,Business travel,Business,2990,1,1,1,1,4,5,4,5,5,5,5,5,5,5,0,0.0
Female,Loyal Customer,45,Business travel,Business,338,5,5,5,5,3,4,4,5,5,5,5,4,5,3,7,0.0
Female,Loyal Customer,56,Business travel,Business,2704,3,3,3,3,2,5,4,1,1,2,1,4,1,4,0,0.0
Male,Loyal Customer,59,Business travel,Business,187,3,3,3,3,4,4,4,5,5,5,5,3,5,3,0,0.0
Male,Loyal Customer,34,Personal Travel,Eco,283,5,4,5,4,1,5,1,1,4,4,5,4,5,1,0,0.0
Female,Loyal Customer,55,Personal Travel,Eco,1379,3,4,3,4,3,5,4,5,5,3,5,4,5,5,0,21.0
Female,Loyal Customer,48,Personal Travel,Eco,550,4,4,4,3,5,3,3,4,4,4,4,4,4,2,0,0.0
Female,disloyal Customer,42,Business travel,Business,1289,4,4,4,4,1,4,1,1,5,5,5,4,4,1,0,0.0
Male,disloyal Customer,25,Business travel,Eco,423,2,2,3,3,2,3,2,2,3,3,4,4,4,2,62,64.0
Male,Loyal Customer,45,Business travel,Business,679,4,4,4,4,4,5,4,5,5,5,5,3,5,4,0,6.0
Female,Loyal Customer,65,Personal Travel,Eco,598,0,2,0,3,4,5,5,2,2,0,2,4,2,3,90,80.0
Female,Loyal Customer,25,Business travel,Business,1105,5,5,5,5,3,3,3,3,3,5,1,3,5,3,2,0.0
Male,Loyal Customer,34,Business travel,Business,4243,4,4,4,4,5,5,5,5,5,4,5,5,4,5,0,4.0
Female,Loyal Customer,48,Business travel,Business,1500,4,4,4,4,3,4,4,5,5,5,5,4,5,3,0,0.0
Female,Loyal Customer,53,Business travel,Business,432,2,3,2,2,4,1,3,5,5,5,5,3,5,1,5,5.0
Female,Loyal Customer,59,Business travel,Business,247,2,2,2,2,2,5,4,4,4,4,4,4,4,3,29,23.0
Male,Loyal Customer,29,Personal Travel,Eco Plus,526,4,4,4,4,1,4,1,1,4,5,5,5,4,1,0,0.0
Male,Loyal Customer,42,Personal Travel,Eco,101,2,1,2,3,4,2,5,4,4,3,3,3,4,4,26,28.0
Male,Loyal Customer,42,Business travel,Business,2586,2,5,5,5,2,2,2,2,1,2,3,2,3,2,7,34.0
Male,disloyal Customer,22,Business travel,Eco,522,2,5,3,5,2,3,2,2,5,5,2,2,2,2,0,0.0
Female,Loyal Customer,46,Business travel,Eco,259,1,4,4,4,3,4,4,1,1,1,1,2,1,1,21,18.0
Male,Loyal Customer,14,Personal Travel,Eco,406,3,5,3,1,5,3,5,5,4,5,4,4,5,5,0,0.0
Male,Loyal Customer,48,Business travel,Business,2611,4,4,1,4,2,4,5,5,5,5,5,3,5,5,0,0.0
Female,disloyal Customer,32,Business travel,Business,874,2,2,2,3,5,2,5,5,5,3,5,3,5,5,4,0.0
Female,Loyal Customer,27,Business travel,Business,1535,3,3,3,3,4,4,4,4,3,2,4,3,5,4,0,10.0
Female,Loyal Customer,13,Personal Travel,Business,1097,3,1,3,2,3,3,3,3,2,3,3,4,3,3,18,11.0
Female,Loyal Customer,36,Business travel,Business,337,5,5,5,5,5,3,3,4,4,4,4,2,4,4,16,23.0
Female,Loyal Customer,33,Personal Travel,Eco,874,2,0,2,5,1,2,1,1,5,5,5,3,4,1,50,36.0
Male,Loyal Customer,33,Personal Travel,Eco,748,2,4,2,5,1,2,5,1,3,4,4,3,4,1,0,0.0
Female,Loyal Customer,59,Personal Travel,Eco,545,3,3,3,5,5,1,3,3,3,3,3,3,3,2,0,0.0
Female,disloyal Customer,15,Business travel,Eco,1097,3,3,3,3,2,3,2,2,3,2,2,2,3,2,0,14.0
Female,Loyal Customer,8,Personal Travel,Business,929,3,4,3,4,2,3,2,2,4,3,4,3,4,2,0,0.0
Male,Loyal Customer,45,Business travel,Business,1195,3,3,3,3,2,3,4,3,3,3,3,3,3,3,0,0.0
Female,disloyal Customer,34,Business travel,Business,335,2,2,2,3,5,2,5,5,4,2,5,5,5,5,0,0.0
Female,Loyal Customer,33,Personal Travel,Eco,590,3,1,3,2,5,3,5,5,1,2,3,2,2,5,35,23.0
Female,Loyal Customer,44,Business travel,Business,2811,1,1,1,1,3,2,3,5,5,5,5,4,5,3,119,124.0
Female,disloyal Customer,22,Business travel,Business,1009,4,3,4,2,2,4,2,2,4,5,4,3,4,2,17,10.0
Male,Loyal Customer,47,Business travel,Business,1575,5,5,5,5,3,5,5,5,5,5,5,4,5,4,0,0.0
Female,Loyal Customer,67,Personal Travel,Business,761,1,5,1,5,3,4,4,4,4,1,4,3,4,5,4,0.0
Male,Loyal Customer,18,Business travel,Business,391,2,2,2,2,4,4,4,4,4,2,4,2,1,4,0,0.0
Male,Loyal Customer,38,Business travel,Business,845,4,4,4,4,5,4,1,5,5,5,5,4,5,2,0,0.0
Male,Loyal Customer,30,Business travel,Business,1535,2,2,2,2,2,2,2,2,4,5,3,3,3,2,0,0.0
Female,Loyal Customer,53,Business travel,Business,813,5,5,1,5,2,4,5,2,2,2,2,5,2,3,41,
Female,disloyal Customer,30,Business travel,Business,990,4,3,3,4,2,3,1,2,4,2,4,4,5,2,0,6.0
Female,Loyal Customer,68,Personal Travel,Eco,524,2,3,2,5,4,4,5,4,4,2,4,5,4,4,119,118.0
Female,disloyal Customer,35,Business travel,Eco,84,4,1,4,2,5,4,5,5,3,4,2,1,2,5,0,0.0
Male,Loyal Customer,33,Business travel,Business,402,2,2,2,2,4,3,4,4,3,5,4,5,4,4,0,0.0
Male,Loyal Customer,36,Personal Travel,Eco,302,3,5,3,1,5,3,5,5,3,2,4,4,5,5,1,0.0
Male,Loyal Customer,55,Business travel,Business,3924,3,5,2,5,1,3,4,3,3,4,3,1,3,1,0,0.0
Female,Loyal Customer,43,Business travel,Eco,562,4,4,4,4,4,5,4,4,4,4,4,2,4,5,0,0.0
Male,Loyal Customer,42,Personal Travel,Eco,919,4,4,3,1,1,3,1,1,3,5,4,5,5,1,0,0.0
Male,Loyal Customer,16,Personal Travel,Eco,342,3,5,3,3,3,3,3,3,2,2,3,4,4,3,4,0.0
Female,Loyal Customer,27,Business travel,Eco,1846,2,5,5,5,2,2,2,2,2,2,3,3,2,2,2,0.0
Female,Loyal Customer,48,Personal Travel,Eco Plus,255,1,5,1,3,3,1,4,2,2,1,2,5,2,3,0,0.0
Male,Loyal Customer,55,Business travel,Business,429,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0
Female,disloyal Customer,33,Business travel,Business,1626,3,3,3,3,3,3,1,3,3,3,5,5,5,3,0,0.0
Male,Loyal Customer,46,Business travel,Eco,240,2,4,4,4,2,2,2,2,3,5,3,4,4,2,48,47.0
Male,Loyal Customer,42,Business travel,Eco,125,4,5,5,5,4,4,4,4,3,3,5,2,1,4,20,17.0
Female,Loyal Customer,38,Business travel,Business,1909,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0.0
Male,Loyal Customer,33,Personal Travel,Business,1721,3,5,3,2,3,3,3,4,4,4,5,3,3,3,182,160.0
Female,Loyal Customer,43,Business travel,Business,1892,5,5,1,5,2,3,5,5,5,5,5,4,5,4,0,0.0
Female,Loyal Customer,56,Personal Travel,Eco,361,2,5,2,3,4,5,4,1,1,2,1,5,1,3,0,3.0
Female,Loyal Customer,68,Business travel,Eco,812,3,4,3,4,4,4,4,3,3,3,3,1,3,3,0,0.0
Female,Loyal Customer,42,Business travel,Business,425,2,2,5,2,5,5,5,4,4,4,4,5,4,4,0,0.0
Male,Loyal Customer,37,Personal Travel,Eco,987,3,5,3,5,3,3,3,3,4,3,5,3,5,3,0,0.0
